,레시피,재료,음식사진,url
10,['대왕 김말이 만들기 분식집 스타일로 '],"['당면', '김밥용김', '간장', '올리고당', '소금', '통깨', '튀김가루', '찬물']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/574768559ba34a404db843684933faee1.jpg,https://www.10000recipe.com/recipe/6979600
11,['매일반찬 콩나물무침레시피 빨간콩나물무침 만드는법'],"['콩나물', '소금', '고추가루', '국간장', '참기름', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/b22acb6e17ea5229ee0e66dd5f252c151.jpg,https://www.10000recipe.com/recipe/6979599
12,['뱅어포구이 만들기 간단한 밑반찬 '],"['뱅어포', '쪽파', '고추장', '간장', '마요네즈', '올리고당', '맛술', '다진', '통깨', '참기름']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/cda01ab8aa665b50ec5025575d2279e41.jpg,https://www.10000recipe.com/recipe/6979598
13,['소세지야채볶음 쏘야볶음 초간단 황금레시피 아이반찬 간단술안주'],"['비엔나소세지', '양파', '파프리카', '식용유', '굴소스', '케찹', '설탕', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/85c573439c1e4a1c4bfd43a071edd9911.jpg,https://www.10000recipe.com/recipe/6979597
14,['새송이버섯버터구이 레시피!'],"['새송이버섯', '마늘', '간장', '맛술', '굴소스', '올리고당', '후추', '대파', '버터']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/10ca8acae5fff65ae6a445e0604891121.jpg,https://www.10000recipe.com/recipe/6979596
15,['#바지락요리 #조개요리 #중국식조개볶음만들기 #매콤한조개볶음 #홍콩에서먹었던조개볶음'],"['바지락', '편마늘', '대파', '다진생강', '베트남고추', '고춧기름', '노두유', '설탕', '굴소스', '청주', '후추']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/9bf56a27e2f7d1af70aa0916d4fc7a901.jpg,https://www.10000recipe.com/recipe/6979595
16,"['아기 반찬, 부추 계란국 레시피!']","['물', '부추', '계란', '다시마']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/bbfa0d9923a6f6422cd3362aea43303f1.jpg,https://www.10000recipe.com/recipe/6979594
17,['스파게티면을 활용한 집에서 만드는 울면 '],"['생면', '새우', '오징어', '크래미', '표고버섯', '팽이버섯', '당근', '달걀', '청경채', '물', '치킨스톡', '소금', '후춧가루', '맛술', '전분']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/888359ca8b343a15d04403747d2e60ac1.jpg,https://www.10000recipe.com/recipe/6979593
18,['시골에서 보내온 채소로 만든 식탁'],"['두릅', '초고추장', '감자', '달래', '양파', '청양초', '쇠고기', '당근', '호박', '육수', '된장', '마늘', '마늘쫑', '마른새우', '멸치액젓', '굴소스', '꿀', '맛술', '식용유', '마늘', '깨소금', '참기름', '숙주', '액젓', '마늘', '깨소금', '참기름']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/a090ca93e71769f0029682df91452cb31.png,https://www.10000recipe.com/recipe/6979592
19,"['손님접대요리, 색고은 계란말이']","['묵은지', '돼지고기', '물', '대파', '두부', '식용유', '양념장', '계란', '청양초', '당근', '호박', '식용유', '소금', '옥돔', '식용유']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/18e2326f6f81410f56b050906774e5141.jpg,https://www.10000recipe.com/recipe/6979591
20,"['남편이 좋아하는 우리집 밑반찬 5가지(멸치볶음,장록초무침,참치살조림,꽈리고추찜,묵은지찜)']","['멸치', '크린베리', '꽈리고추', '올리고당', '식용유', '깨소금', '마요네즈', '고추장', '식초', '마늘', '깨소금', '참기름', '참치', '양파', '청양초', '미니파프리카', '육수', '간장', '굴소스', '맛술', '올리고당', '마늘', '후추', '꽈리고추', '밀가루', '간장', '고춧가루', '마늘', '참기름', '깨소금', '묵은지', '팽이버섯', '대파', '된장', '홍초', '마늘']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/8fb250ee31a473cf2a6b702c5207031c1.jpg,https://www.10000recipe.com/recipe/6979590
21,['노오븐 베이킹 오레오 치즈케이크 만들기 집에서 쉽게 만드는 투썸 아이스박스 오레오케이크 레시피'],"['오레오', '마스카포네치즈', '크림치즈', '생크림', '설탕']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/10801cca623846c956bf13c43a255bb51.jpg,https://www.10000recipe.com/recipe/6979589
22,['쫄깃함이 좋은 매콤한 낙지볶음 레시피 ! 저녁 메인메뉴로 좋아요'],"['냉동', '양배추', '당근', '양파', '새송이버섯', '애호박', '대파', '고춧가루', '매운고춧가루', '고추장', '설탕', '간장', '다시다', '후추', '참기름', '올리고당', '식용유', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/827da747b006141182191a65ac74e0981.jpg,https://www.10000recipe.com/recipe/6979588
23,['캔참치요리 고추참치 순두부찌개 누가 끓여도 맛있어요'],"['고추참치', '순두부', '대파', '양파', '청양고추', '계란', '팽이버섯', '오일', '다진마늘', '고춧가루', '물', '새우젓', '국간장', '소금', '후추', '참기름']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/19/f14d8ebc28abfac0c09c84ef5ee2fad41.jpg,https://www.10000recipe.com/recipe/6979587
24,['제육볶음 건강하게 먹기'],"['돼지고기앞다리살', '사과', '간장', '설탕', '고추장', '고춧가루', '다진마늘', '청주', '생강', '후추', '대파', '양파', '홍고추', '청양고추']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/718020ca85a6f39252ecfe9bd4639db31.jpg,https://www.10000recipe.com/recipe/6979586
25,['두부김치 만들기~막걸리 땡긴다 땡겨~'],"['김치', '들기름', '식용유', '파', '두부', '깨소금', '설탕']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/d6cb8ebbee2b68a0e53abf568d5c67451.jpg,https://www.10000recipe.com/recipe/6979585
26,[],[],,https://www.10000recipe.com/recipe/6979584
27,['초간단 베이글 피자 만들기 / 피자빵 레시피'],"['베이글', '소세지', '당근', '양파', '슬라이스', '토마토', '모짜렐라', '마요네즈', '콘옥수수']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/9750667f0cbbb34b9ca58d02ca62a4431.jpg,https://www.10000recipe.com/recipe/6979583
28,['든든하게 먹을 수 있는 참치계란말이 만들기'],"['파', '양파', '참치', '소금', '계란', '식용유']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/16/2afeb73bdb99fc15e53ad055c8cd56711.jpg,https://www.10000recipe.com/recipe/6979582
29,['초간단 아몬드 콩국물 만들기'],"['구운', '두부', '우유', '통깨', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/3c351339cc8ee10150d6f65a76d06b781.jpg,https://www.10000recipe.com/recipe/6979581
30,['끓이지 않고 쉽게 꼬들꼬들한 간장 참외장아찌 4일만에 쉽게 만드는 법'],"['참외', '소주', '생수', '천일염', '흑설탕', '진간장', '멸치육수', '소주', '식초', '물엿', '마늘', '양파', '빨간파프리카', '청양고추']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/32c5fd32634cf11c435453e315aa1db61.jpg,https://www.10000recipe.com/recipe/6979580
31,['<밑반찬>도라지오이무침!'],"['깐', '오이', '설탕', '소금', '소금', '고추장', '고추가루', '배식초', '다진마늘', '올리고당', '설탕', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/ce559a123ec7b5bcc44937266ea34c491.jpg,https://www.10000recipe.com/recipe/6979579
32,"['바지락국: 속 시원한 맑은국, 피로회복 조개탕(더 깔끔하게 끓이는 방법)']","['바지락', '물', '다시마', '무', '마늘', '양파', '청양고추', '파', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/c11f81a3d0b2a209b50abd42aa332bdd1.jpg,https://www.10000recipe.com/recipe/6979578
33,['양푼열무비빔국수:국물 맛이 끝내주는 비빔국수(김치말이국수)'],"['소면', '열무김치', '참깨', '계란', '고추장', '고운', '진간장', '사과청', '생강청', '단', '다진마늘', '생강술']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/41d70355cad85d034958a9cb17edc6aa1.jpg,https://www.10000recipe.com/recipe/6979577
34,['락교 만들기 쪽파 뿌리로 만든 락교'],"['쪽파', '물', '식초', '설탕', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/e969480c37e7117567e4b971e72cc3fe1.jpg,https://www.10000recipe.com/recipe/6979576
35,['쌈채소 듬뿍 상추비빔밥:뼈 튼튼 천연 칼맥디비빔밥 만들기'],"['쌈채소', '현미밥', '달걀', '쌈장', '들기름', '세발나물', '양조간장', '매실액', '참기름', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/ef1627629230fd9a50bd4ae663014f6e1.jpg,https://www.10000recipe.com/recipe/6979575
36,['햄 달걀말이'],"['계란', '파', '스팸', '식용유', '참치액', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/17/dfa4def03dce196f3a6a6e40c2dae3191.jpg,https://www.10000recipe.com/recipe/6979574
37,"['""콩나물 무침""']","['콩나물', '소금', '파', '참치액', '볶은소금', '고춧가루', '다진마늘', '참기름', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/17/7e04324af269b46ae3b89d1b24d09ca41.jpg,https://www.10000recipe.com/recipe/6979573
38,"['홈베이킹 흑임자쿠키, 진짜 고소한 깨쿠키 만들기']","['밀가루박력분', '아몬드가루', '깨', '설탕', '소금', '무염버터', '계란', '바닐라익스트랙']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/2fea27c696361de4bdb0298d4889345d1.jpg,https://www.10000recipe.com/recipe/6979572
39,['‘매쉬드포테이토’ 만들기~!!매시드포데이토 으깬감자 요리 곁들이'],"['감자', '버터', '마요네즈', '따뜻한우유', '소금', '후추', '물', '소금', '설탕']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/a4af5a35f6b21b91716f92674ee4fd9f1.jpg,https://www.10000recipe.com/recipe/6979571
40,[],[],,https://www.10000recipe.com/recipe/6979570
41,['돈까스'],[],https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/de6866ccb73fb78c0c2b697f43d1a00f1.jpg,https://www.10000recipe.com/recipe/6979569
42,['100% 맛보장 ☆강추☆ 곰탕 없이 끓여보는 초간단 닭곰탕'],"['닭고기', '대파', '소금', '후추', '다진마늘', '까나리액젓', '국간장', '물', '식용유']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/f3fc6a4089eba54b860c3220f9aa33851.jpg,https://www.10000recipe.com/recipe/6979568
43,['식이섬유 풍부한 우엉으로 칼로리를 낮춘 잡채~ ♡우엉잡채♡'],"['우엉', '시금치', '새송이버섯', '양파', '당근', '통깨', '간장', '설탕', '참기름', '다진마늘', '물']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/72a1a57638463e8c6f2f7a63d14c94571.jpg,https://www.10000recipe.com/recipe/6979567
44,['편스토랑 김가연 오이 탕탕이'],"['오이', '통마늘', '소금', '깨소금', '통깨', '설탕']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/6297c216eb5543814ffcddcd371e40161.jpg,https://www.10000recipe.com/recipe/6979566
45,['오이수 < 미용음료 건강 음료 >'],[],https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/8b668c0706b134d64ccf3a13fee808a21.jpg,https://www.10000recipe.com/recipe/6979565
46,['마늘조림. 단짠단짠 쫀득한 밑반찬.'],"['통마늘', '아몬드슬라이스', '홍고추', '청양고추', '물', '간장', '맛술', '조청', '올리고당', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/e02282eb42b6b23e2966d02f55f66c3b1.jpg,https://www.10000recipe.com/recipe/6979564
47,['쫄깃한 중국당면으로 만드는 5가지 요리 모음!'],['레시피마다달라요'],https://recipe1.ezmember.co.kr/cache/recipe/2020/02/14/652fa6898d812a53fbe9163f4ff0f3711.jpg,https://www.10000recipe.com/recipe/6979563
48,['계란빵 만들기 | 오븐없이 전자레인지로 뚝딱 달걀빵'],"['핫케잌가루', '우유', '식용유', '베이컨', '달걀', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/e04830431cfd836ed11da470b5490e9c1.jpg,https://www.10000recipe.com/recipe/6979562
49,['데리야끼치킨덮밥 만들기'],"['닭다리살', '양파', '깻잎', '밥', '진간장', '굴소스', '설탕', '다진마늘', '물']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/ad4f47623d77db12e4367b2af01017d81.jpg,https://www.10000recipe.com/recipe/6979561
50,['직접 만든 간장양념을 뿌린 불고기덮밥!'],"['양념불고기', '대파', '양파', '간장', '올리고당', '맛술', '물']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/b8db2cde14c56049c155724fde0e04a21.jpg,https://www.10000recipe.com/recipe/6979560
51,['라이스페이퍼로 만드는 깐쇼달걀'],"['삶은', '라이스페이퍼', '체다치즈', '파슬리가루', '식용유', '간장', '식초', '케첩', '고춧가루', '설탕', '물']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/ae1c43a940a3e4b021625cc911e26a641.jpg,https://www.10000recipe.com/recipe/6979559
52,['자작하게 볶아 맛있는 언양식불고기'],"['불고기용소고기', '양파', '대파', '간장', '맛술', '설탕', '물엿', '후추', '다진', '배즙']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/a9aac9c3779f3053f0e37f14d83d4fb21.jpg,https://www.10000recipe.com/recipe/6979558
53,['방풍나물국:봄에 꼭 먹어야 할 이유있는 봄나물된장국 (간단아침국)'],"['방풍나물', '쌀뜨물', '무', '다시마', '된장', '고추장', '고춧가루', '대파']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/95dc645ea95a6b4882f4a3e4d442ed921.jpg,https://www.10000recipe.com/recipe/6979557
54,['무채나물볶음!!!'],"['무', '다진마늘', '들기름', '대파', '통깨', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/5681a9ac0a81b6d9ebfdc0fa12567f331.jpg,https://www.10000recipe.com/recipe/6979556
55,[],[],,https://www.10000recipe.com/recipe/6979555
56,['불이 필요 없는 초간단 참치 김치 주먹밥 레시피'],"['밥', '마요네즈', '간장', '참기름', '동원참치', '씻은', '김가루']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/fe15c30f5f692833fb7090e5dcfcc3f91.jpg,https://www.10000recipe.com/recipe/6979554
57,['햄치즈 계란빵 (오븐)'],"['핫케이크가루', '우유', '계란', '체다치즈', '모짜렐라', '햄', '파슬리가루', '마요네즈', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/3f3a30b00d159c23416c80cd0b5192421.jpg,https://www.10000recipe.com/recipe/6979553
58,['토마토 마리네이드 / 콜드파스타 / 샐러드 토핑 / 스테이크가니쉬'],"['방울토마토', '양파', '파슬리', '올리브오일', '발사믹식초', '꿀', '소금', '레몬즙']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/8c8ad01686b543445ccf0ddc10bf93d61.jpg,https://www.10000recipe.com/recipe/6979552
59,['생일소고기미역국!'],"['건미역', '소고기', '참기름', '국간장', '후추가루', '생강술']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/b1f07096ee7fc0035341a555cb930c261.jpg,https://www.10000recipe.com/recipe/6979551
60,['예쁜 크래미 계란말이'],"['계란', '다진', '다진', '다진', '크래미', '맛소금', '후추', '참기름', '식용유', '케첩']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/9449633eff02d8eaa003afe0a2953cb21.jpg,https://www.10000recipe.com/recipe/6979550
61,"['국물 안생기게 만든 무수분 감자조림 - 도시락반찬, 아이반찬']","['감자', '마늘', '식용유', '참기름', '참깨', '진간장', '굴소스', '맛술', '올리고당', '후추', '다진쪽파']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/3a561d035f277028219ccb06ee28a3d71.jpg,https://www.10000recipe.com/recipe/6979549
62,['참외사과 과일샐러드 (발사믹 드레싱)'],"['샐러드야채', '사과', '참외', '구운', '올리브오일', '발사믹식초', '아가베시럽', '레몬즙', '소금', '후추']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/5ce824f0fa86e1ce4f5d08ce0ee5bcda1.jpg,https://www.10000recipe.com/recipe/6979548
63,['불고기피자 / 베이글 / 간단레시피 '],"['불고기', '베이글', '오이', '청량고추', '토마토', '모짜렐라치즈', '슬라이스', '원당', '미향', '양조간장', '다진마늘', '후춧가루', '생강가루', '케찹', '허니머스타드']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/2bf3cd715a770d57093dee44d6831e7e1.jpg,https://www.10000recipe.com/recipe/6979547
64,['애호박버섯찌개'],"['애호박', '두부', '표고버섯', '새송이버섯', '느타리버섯', '팽이버섯', '대파', '청양고추', '홍고추', '고추장', '된장', '고춧가루', '다진', '소금', '물', '황태육수']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/465cf4065bc9dd25158e054bd0ec64271.jpg,https://www.10000recipe.com/recipe/6979546
65,['초간단 김치콘치즈밥 만들기!'],"['배추김치', '스위트콘', '피자치즈', '밥', '식용유', '고추장', '케찹', '요리당', '대파']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/9f5fa271ffd3b8c624b0cba9f14ab6951.jpg,https://www.10000recipe.com/recipe/6979545
66,['초코스콘 레시피 m&m초코렛 다크초코렛으로 스콘만들기'],"['밀가루박력분', '베이킹파우더', '설탕', '계란', '차가운', '차가운', '다크초콜렛', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/eb4b45e3d3c84bcf0c75c91c4906c2ae1.jpg,https://www.10000recipe.com/recipe/6979544
67,['돼지고기를 넣은 콩나물밥 솥밥요리'],"['돼지고기', '쌀', '콩나물', '참기름', '다진마늘', '생강', '소주', '맛술', '후추', '소금', '진간장', '올리고당', '고춧가루', '참기름', '다진마늘', '다진대파', '참깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/dbcc1032f21be035056d0f92d9c9ea001.jpg,https://www.10000recipe.com/recipe/6979543
68,[],[],,https://www.10000recipe.com/recipe/6979542
69,['열무김치 열무물김치 담그는 방법'],"['열무', '얼갈이', '보리', '마늘', '생강', '마른고추', '홍고추', '양파', '쪽파', '배', '소금', '생수', '뉴슈가', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/2fa9f93acfc36feb82fab77fe4f69f911.jpg,https://www.10000recipe.com/recipe/6979541
70,['백목이버섯요리 백목이버섯 겨자 냉채'],"['오이', '양배추', '숙주', '크래미', '양파', '참깨', '매실액', '다진마늘', '설탕', '식초', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/c4fcc18f9ba8d01337b0881a0ab142e81.jpg,https://www.10000recipe.com/recipe/6979540
71,"['물김치 레시피 , 배물김치,여름물김치']","['무', '사과', '배', '대파', '생강', '마늘', '양파', '쪽파', '청양고추', '홍고추', '생수', '소금', '뉴슈가', '비트']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/408d929f26cd281597df1373ad3393721.jpg,https://www.10000recipe.com/recipe/6979539
72,['배추얼갈이김치 백종원겉절이 무침요리 가정식 일주일 도시락밑반찬'],"['얼갈이', '당근', '고춧가루', '멸치액젓', '간마늘', '설탕', '부추', '청양고추', '찹쌀가루', '굵은소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/957633c3b7a7625d6b4a233918d694001.jpg,https://www.10000recipe.com/recipe/6979538
73,['김치콩나물국 끓이는법 아침해장김칫국 황금레시피'],"['콩나물', '김치', '고춧가루', '소금', '간마늘', '청양고추', '대파', '육수']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/3aafbf440ef395c0cea6192a55cd92dc1.jpg,https://www.10000recipe.com/recipe/6979537
74,['김장김치묵은지된장조림!'],"['묵은지', '건다시마', '청양고추', '다시멸치', '된장']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/a01611e0544853e7745d48b05dcd5a0a1.jpg,https://www.10000recipe.com/recipe/6979536
75,['편스토랑 비빔고추장으로 만든 비빔국수'],"['소면', '물', '오이', '양파', '당근채', '적양배추', '청상추', '삶은달걀', '김가루', '통깨', '참기름', '고추장', '다진마늘', '설탕']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/e26cb441325ffc83d017e3f089b4a4521.jpg,https://www.10000recipe.com/recipe/6979535
76,['양념꽃게무침 만드는 법 양념게장 양념꽃게장 레시피'],"['꽃게', '양파', '청양고추', '홍고추', '대파', '소주', '소금', '고운고춧가루', '매실청', '참치액', '진간장', '생강청', '맛술', '후추', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/c15c940c359ae1414275a92d9df0db261.jpg,https://www.10000recipe.com/recipe/6979534
77,['백골뱅이 저녁메뉴 술안주로 국물이 끝내주는 백골뱅이탕'],"['백', '청양고추', '홍고추', '굵은소금', '맛술', '멸치액젓', '다진마늘', '생강가루']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/bebef55bc652c5e3aabab0c400ef3c0a1.jpg,https://www.10000recipe.com/recipe/6979533
78,['포슬포슬 부드러운 감자조림 만들기'],"['감자', '양파', '물엿', '간장', '맛술', '다진', '식용유', '참기름', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/c6a2e31b209be4e506795c212fdc23c41.jpg,https://www.10000recipe.com/recipe/6979532
79,['냉동유부 된장 넣고 초무침으로 드세요. 기가 막힌 반찬이 됩니다.'],"['당근', '유부', '된장', '설탕', '식초']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/16/e9a9537eb46e4b4c4c1cf9f47284b2831.jpg,https://www.10000recipe.com/recipe/6979531
80,['훈제오리 단호박찜 치즈 듬뿍 올린 오리고기 요리'],"['단호박', '훈제오리', '통마늘', '양파', '굴소스', '슬라이스치즈', '피자치즈']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/3ac3cc41bf5cf0ce942daf6a2da523331.jpg,https://www.10000recipe.com/recipe/6979530
81,['보들보들한 순두부 계란찜 만들기'],"['순두부', '계란', '새우젓', '다시마우린물', '파프리카', '대파']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/41f7de53b5b9dcd90a90211ccca2848d1.jpg,https://www.10000recipe.com/recipe/6979529
82,['고추장마늘쫑무침 5월 제철 밑반찬 만들기'],"['마늘쫑', '소금', '통깨', '참기름', '고추장', '고춧가루', '올리고당', '설탕', '진간장']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/70cd0e80de1b505f603aa356b14a370b1.jpg,https://www.10000recipe.com/recipe/6979528
83,['묵은지볶음 만드는법 - 딸에게# / 압력솥으로 만들어야부드러워요~'],"['묵은지', '식용유', '설탕', '쪽파']",https://recipe1.ezmember.co.kr/cache/recipe/2022/03/07/4baa9087984733b7a7fb699217744aa21.jpg,https://www.10000recipe.com/recipe/6979527
84,['구운 어묵 볶음 '],"['카놀라유', '간장', '참치액', '올리고당', '다진마늘', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/17/851322e8331f584102ba3eb5aea888b11.jpg,https://www.10000recipe.com/recipe/6979526
85,"['""도라지볶음""']","['도라지', '굵은소금', '참치액', '볶은소금', '다시육수', '참기름', '통깨']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/17/f0f3dea9006f73dbf7884a810778787e1.jpg,https://www.10000recipe.com/recipe/6979525
86,['가지돼지고기 볶음 (어향가지 레시피)'],"['가지', '간', '대파', '청양고추', '다진', '생강가루', '집된장', '시판용', '간장', '식초', '설탕', '고춧가루', '물', '식용유']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/9a9f26208051d34d64dcef55c4232cd61.jpg,https://www.10000recipe.com/recipe/6979524
87,['#조개요리 #바지락요리 #조개탕만들기 #초간단조개탕 #해장요리 #매운음식엔조개탕'],"['바지락', '편마늘', '썬파', '홍고추', '청양고추', '청주', '후추', '소금']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/a67d17687e6e48e89b19f4d1c921285a1.jpg,https://www.10000recipe.com/recipe/6979523
88,"['아기 반찬, 돼지고기 가지볶음 레시피!']","['돼지고기다짐육', '물', '물', '가지', '올리고당']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/17/a16cf99bf323a640d5da569a403820a31.jpg,https://www.10000recipe.com/recipe/6979522
89,['볼락구이 비린내 없이 담백하면서 쫀득한 볼락요리 생선구이'],"['볼락', '소금', '식용유']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/24205dbf614ce162d4e9195bd0a53e6f1.jpg,https://www.10000recipe.com/recipe/6979521
90,['관절에 좋은 음식 꽈리멸치볶음/중멸치볶음'],"['중멸치', '꽈리고추', '식용유', '간장', '멸치액젓', '맛술', '황설탕', '물엿', '참기름', '깨소금', '후추']",https://recipe1.ezmember.co.kr/cache/recipe/2022/05/18/67ed83e92feb3c60690da6bf0540c9ca1.jpg,https://www.10000recipe.com/recipe/6979520
